date,open,high,low,close,volume
2025-03-26,2988.0,3129.03,2988.0,3056.15,0.0
2025-03-27,3055.77,3097.7,3055.27,3088.71,0.0
2025-03-28,3088.73,3116.99,3085.15,3114.99,0.0
2025-03-29,3115.14,3140.0,3105.0,3105.17,0.0
2025-03-30,3105.16,3164.26,3105.0,3145.01,0.0
2025-03-31,3145.02,3177.56,3123.03,3129.11,0.0
2025-04-01,3129.12,3190.0,3120.0,3188.0,0.0
2025-04-02,3187.99,3189.95,3076.02,3125.08,0.0
2025-04-03,3125.29,3146.99,3040.0,3053.9,0.0
2025-04-04,3053.91,3069.0,3046.79,3067.0,0.0
2025-04-05,3066.6,3092.5,2989.6,3011.7,393.922
2025-04-06,3011.7,3068.6,2953.0,3004.9,1346.35
2025-04-07,3004.8,3036.4,2989.0,3000.8,921.832
2025-04-08,2998.4,3118.5,2994.5,3103.4,2116.936
2025-04-09,3103.4,3225.0,3097.8,3220.7,2185.424
2025-04-10,3220.9,3273.0,3214.2,3267.3,4588.621
2025-04-11,3267.0,3295.0,3232.6,3241.1,2124.962
2025-04-12,3241.5,3271.4,3235.0,3249.5,1286.256
2025-04-13,3250.0,3276.0,3214.2,3239.6,1732.915
2025-04-14,3238.3,3268.0,3230.4,3268.0,1191.414
2025-04-15,3268.0,3382.8,3268.0,3378.5,2613.414
2025-04-16,3378.5,3387.4,3310.9,3347.8,1589.447
2025-04-17,3347.5,3358.8,3338.1,3349.7,723.416
2025-04-18,3349.7,3354.6,3340.0,3348.2,652.182
2025-04-19,3351.9,3369.3,3346.8,3369.3,410.955
2025-04-20,3369.3,3471.9,3368.6,3461.6,3896.964
2025-04-21,3461.5,3530.2,3330.8,3346.7,8911.493
2025-04-22,3346.7,3402.6,3281.1,3335.9,4869.946
2025-04-23,3336.0,3385.2,3325.0,3366.0,1903.833
2025-04-24,3366.0,3376.3,3301.4,3320.4,381.276
